gene_id,variance,mean_expr,n_samples
FBgn0039091,1.474948748126003,2.752972242774168,41
FBgn0037724,1.4648734114398236,6.21768333628365,41
FBgn0037562,1.4527982054000093,2.5283601331788677,41
FBgn0010385,1.3927771124058181,4.9473643101224,41
FBgn0033792,1.352283453770968,4.47991773984491,41
FBgn0028519,1.3522781835287885,0.9165015829472996,41
FBgn0022700,1.3484877802644637,4.669824681715887,41
FBgn0052368,1.347171929058288,4.221450188880545,41
FBgn0010044,1.3264219158013062,3.5082499520977026,41
FBgn0002563,1.3238967983797987,5.5815395795996565,41
FBgn0262838,1.3059597403429868,4.198903435614197,41
FBgn0262357,1.3036642369660272,4.741177146877338,41
FBgn0053926,1.300772225903814,5.04491198715951,41
FBgn0035620,1.2817733167179493,3.8767218372982493,41
FBgn0052302,1.281096190769061,1.1045899662357825,41
FBgn0283461,1.264542569449792,9.124934754925066,41
FBgn0010038,1.2337454769330938,3.959232623185276,41
FBgn0051091,1.214498235155459,2.187646579030766,41
FBgn0036262,1.1979656153957445,8.867345805661863,41
FBgn0038702,1.1930909588570842,8.269380307502542,41
FBgn0052283,1.184039154074502,1.6369588461219402,41
FBgn0002939,1.182321760087438,4.448146850483692,41
FBgn0038719,1.1677059496533604,6.756719753316586,41
FBgn0033294,1.1512104138201131,6.008089449752976,41
FBgn0030929,1.1414634425632817,6.699395045562293,41
FBgn0034187,1.1195548591545612,1.3511177509662406,41
FBgn0051901,1.1046894870280437,6.92836708204961,41
FBgn0038838,1.1025481421286518,1.288969852757566,41
FBgn0036023,1.0993915871511235,2.3858156358526093,41
FBgn0038451,1.0993592362715419,3.900926720710905,41
FBgn0034511,1.0960921736243028,7.547604242777889,41
FBgn0033296,1.0633297366809897,8.434488461951359,41
FBgn0034160,1.038926059109707,3.008874824757576,41
FBgn0032835,1.0342710428618818,7.814136457766742,41
FBgn0036024,1.0326116270127261,5.271651635438747,41
FBgn0031034,1.0307753762565697,4.213217043735703,41
FBgn0033027,1.028523447286271,2.820810972403067,41
FBgn0000276,1.0070180844402898,6.382512203866465,41
FBgn0053468,0.9877300471461256,2.9839278638206483,41
FBgn0259973,0.9726981426568786,4.243830005277998,41
FBgn0036948,0.9644514087375194,2.518194046407105,41
FBgn0031055,0.9609736884558888,4.2101216636518775,41
FBgn0043578,0.9587138014590979,8.443315031995354,41
FBgn0039239,0.9580925913667263,1.8458303943180994,41
FBgn0053337,0.9540308852476189,1.433035232317753,41
FBgn0035619,0.9482621660037944,4.2201004873431796,41
FBgn0027584,0.9434568025341845,7.639583728635316,41
FBgn0040734,0.9379060001939716,6.0961596823344975,41
FBgn0051148,0.9322242234361496,4.946591503004611,41
FBgn0024289,0.9319074737244588,8.307705051455637,41
FBgn0040736,0.9287340777883488,8.574425848433462,41
FBgn0267515,0.916284974273179,7.1531502886519185,41
FBgn0085256,0.8966164525876902,5.010774009512826,41
FBgn0020506,0.8896458713935866,3.992115281081448,41
FBgn0067905,0.8845634716904331,6.956979834737786,41
FBgn0267514,0.8819966370816825,3.2131296744665314,41
FBgn0038718,0.8767953268672685,6.317733280341723,41
FBgn0039685,0.875579838253566,6.086170109492424,41
FBgn0025583,0.8695533437995678,8.712627975343127,41
FBgn0261575,0.8598189569789202,9.368915613215684,41
FBgn0033789,0.856043899117466,5.695603469696816,41
FBgn0261675,0.8495143915960673,4.772431996423917,41
FBgn0261989,0.8473844487389899,8.100039376410093,41
FBgn0010041,0.8449773354266187,5.430675434760484,41
FBgn0031277,0.8407066989809013,5.420606764709543,41
FBgn0085358,0.8385410026386106,4.862312235863923,41
FBgn0003068,0.8366289226565542,4.768317036152812,41
FBgn0038450,0.8270983895586271,7.196109845229243,41
FBgn0034247,0.8230141124678628,7.54659180972297,41
FBgn0032049,0.821374765826091,7.489449117165258,41
FBgn0034296,0.8210929960211754,7.535201586365635,41
FBgn0051087,0.8168168589540621,4.4358049717265375,41
FBgn0036320,0.8144771582122967,3.015812189715854,41
